FIPS,recent_trend,prediction_trend,O3_max_pred,PM25_max_pred
12133,stable,stable,40.86832591355368,10.43515905554469
13103,stable,stable,39.87142307666732,11.239413382358695
13105,stable,stable,43.39456590338353,12.668675580481127
13107,stable,stable,41.186181007823194,11.486625432035986
13109,stable,stable,39.55096309250929,11.308469308820653
13111,stable,stable,45.60698075493839,11.376105943672991
13113,stable,stable,43.15101630784275,13.655761357911206
13115,stable,stable,43.6779583647565,13.813071781537259
13117,stable,stable,44.47341901290827,13.652052494230393
13119,stable,stable,43.78397858067671,12.98404936905926
13121,falling,falling,45.46801017680423,14.872509887150402
13123,stable,stable,45.00583489262664,12.045780829063172
13127,stable,stable,41.2327196274203,9.725387375904557
13129,stable,stable,43.814524070408766,13.578265441228243
13131,stable,stable,40.365614367690206,11.428843059847448
13135,falling,falling,45.087756769998045,14.243447421670252
13137,stable,stable,44.342876609818106,12.239933549383924
13139,stable,stable,44.85165953256405,13.566934741052219
13143,falling,stable,43.04533867866223,12.653817282612948
13145,stable,stable,41.9322472567964,12.218985078036377
13147,stable,stable,43.853527377664776,12.893847764326228
13149,stable,stable,41.87567502405633,12.53819826109916
13151,stable,stable,44.082513420496774,13.89470501623313
13153,stable,stable,42.382558858595736,12.629112630354
13155,stable,stable,40.564607382749855,11.148305914922746
13157,stable,stable,44.063660569333074,13.575569105613145
13161,stable,stable,39.907223860747116,10.880807175630745
13165,stable,stable,40.603245620379425,11.247365938783494
13167,stable,stable,41.526363207901426,11.629285314688051
13169,stable,stable,43.41654227850577,12.972168090553492
13171,stable,stable,42.792284741052214,12.533168728926267
13173,stable,stable,39.44339366653628,10.54936274359476
13175,stable,stable,41.92713781947976,11.903477698220224
13177,stable,stable,41.26911268276941,11.985232582241345
13179,stable,stable,40.49389316898103,12.252173596518677
13181,stable,stable,42.28650909974575,11.958531393897909
13183,stable,stable,39.37897898689614,11.569194470760806
13185,stable,stable,40.23617435008801,11.121915806571485
13187,stable,stable,43.96687527850577,11.944227452571877
13189,stable,stable,42.5205749581459,12.446425217876003
13191,stable,stable,40.4588940019558,9.835367250537846
13193,stable,stable,41.80541972168981,12.306772482300019
13195,stable,stable,43.646053535693326,13.246064791511833
13197,falling,falling,41.474730982984546,11.71750607256014
13199,stable,stable,42.26665012888715,12.313310219636222
13201,stable,stable,40.34017857696069,11.14924142479953
13205,stable,stable,40.84407596655584,11.732126697046743
13207,stable,stable,43.375613685898685,12.86198518501858
13209,stable,stable,40.37568914257774,11.09230996636026
13213,stable,stable,45.170212724036766,13.015267761588108
13215,stable,stable,41.686759054762376,12.631752859964795
13217,stable,stable,44.249503470369646,13.476146858595735
13219,stable,stable,43.68362196577352,13.210327403676901
13221,stable,stable,43.342440325640524,12.846332306082534
13223,stable,stable,43.96239941521611,13.820395040289458
13225,stable,stable,42.07720481869744,12.494739550166244
13227,stable,stable,44.12692742734207,12.54558538881283
13229,stable,stable,39.07284580070409,10.46907222296108
13231,stable,stable,42.61490807451594,12.438312823195774
13233,stable,stable,43.458538179542344,13.170705262077059
13235,stable,stable,41.42692273577156,11.654013100919226
13239,stable,stable,40.35285106864854,11.131067993937023
13241,stable,stable,44.95154920438099,10.784698646587131
13243,stable,stable,40.63581664854293,11.210465623704284
13245,falling,falling,42.61226518756112,13.246999129473892
13247,stable,stable,43.70515007060435,13.688201267357716
13249,stable,stable,41.24680799921768,11.809535919225503
13251,stable,stable,40.575595402699,11.246085735575983
13253,stable,stable,40.15857233424604,10.902162840211227
13255,stable,stable,43.21530839428907,12.962693901427734
13257,stable,stable,43.684005385683555,12.225585437707803
13259,stable,stable,40.891243934871895,11.49950246411109
13261,stable,stable,41.61929239331117,12.08142827674555
13263,stable,stable,41.83147459847447,11.900688935654214
13267,stable,stable,40.04069209192255,11.413683312732251
13269,stable,stable,41.87215051633092,12.060944764326228
13271,stable,stable,40.473403195775475,10.99003253901819
13273,stable,stable,40.972152157637396,11.671630204967729
13275,stable,stable,40.53163481674164,11.628088564834735
13277,stable,stable,40.70571759671426,11.438230849403482
13279,stable,stable,40.28781505241541,11.195577325444944
13281,stable,stable,45.28610218638764,10.5950170379425
13283,stable,stable,40.512446231371015,11.152019732251125
13285,stable,stable,42.08416490827303,12.467011877371405
13287,stable,stable,40.81447153549775,11.289319334637199
13289,stable,stable,42.1412232129865,12.202886083317036
13291,stable,stable,45.26938657226677,11.03444222198318
13293,stable,stable,42.4392966506943,12.26320394406415
13295,stable,stable,44.56252520242519,13.29193887013495
13297,stable,stable,44.59945488851946,13.526164072560142
13299,stable,stable,39.7182555077254,10.790003624095442
13305,stable,stable,39.31410706845296,10.644996311949932
13309,stable,stable,40.18149214766282,10.91546205319773
13311,stable,stable,44.309815983375714,11.853676596909837
13313,stable,stable,44.576977204185404,13.545205953451987
13315,stable,stable,41.17715868081361,11.42845946293761
13317,stable,stable,42.83686708644632,12.2971872966947
13319,stable,stable,42.50751588010953,12.46439294210835
13321,stable,stable,41.306994749462156,11.752108212595346
17101,stable,stable,39.978730814199096,12.892378194601996
17103,falling,falling,38.42073703813808,12.201685894973597
17105,stable,stable,39.5692821196949,12.421206828476432
17107,stable,stable,39.04762740230784,12.183014824955995
17109,stable,stable,38.64461809270487,11.516681266966556
17111,falling,falling,38.70578992939566,12.734900893800118
17113,stable,stable,39.80622682378252,12.418310358693526
17115,falling,falling,39.14598438274985,12.54139485331508
17117,stable,stable,41.619741415411696,12.412275669861138
17119,falling,falling,42.31927930530021,13.940093597105419
17121,stable,stable,40.80603684607863,12.14721781537258
17123,stable,stable,38.78473197242323,12.193298920594563
17125,stable,stable,39.0335778930178,11.991117135341288
17127,stable,stable,42.05770520046939,12.253698877175827
17129,stable,stable,38.676884392724425,11.817525437316643
17131,stable,stable,37.984370325249365,11.81251203755134
17133,stable,stable,41.25624583669079,12.791016233717974
17135,stable,stable,40.601505755329555,12.048436597887738
17137,stable,stable,39.94697259280266,11.850752395266968
17139,stable,stable,38.64986568746333,12.102921432427147
17141,stable,falling,38.44460564111089,12.241327156659494
17143,stable,stable,38.6189844445531,12.753046523371797
17145,stable,stable,41.45159503872482,11.947246916291805
17147,stable,stable,38.6352444036769,12.267944399178564
17149,stable,stable,40.486825203794254,11.557118872677488
17151,falling,stable,42.23696119831801,11.883027219440642
17153,stable,stable,42.01042576432623,11.963561724819089
17155,stable,stable,38.04337407647174,12.03881857441815
17157,stable,stable,41.84092914355565,12.245468425386271
17159,rising,rising,39.88169414864072,12.491185225112458
17161,stable,stable,38.099835931938195,12.51304185292392
17163,stable,falling,41.630893239585376,13.708140504596127
17165,stable,stable,41.9697784504205,12.064099451985136
17167,stable,stable,39.786525761392525,12.300252283590847
17169,stable,stable,38.85325201936241,11.36996614746724
17171,stable,stable,39.6175740972032,11.542116710541757
17173,stable,stable,39.66091240543712,12.182535164091531
17175,stable,stable,37.89649002601213,11.764735197340114
17177,stable,stable,38.670427809114024,11.718100100528066
17179,falling,falling,38.9881140271856,12.800112039702718
17181,stable,stable,42.13579398239781,11.83986409426951
17183,stable,stable,39.2324662655975,12.740297133972227
17185,falling,falling,40.02712260903579,12.991077030119303
17187,stable,stable,38.21555909837669,11.628662668100919
17189,stable,stable,40.89304194504205,12.190119134754548
17191,stable,stable,40.77767997829063,12.258520990221005
17193,falling,falling,41.260536844122825,12.459754327009584
17195,stable,stable,38.46200983610405,12.34631520242519
17197,falling,falling,39.40250463446118,14.293960579894387
17199,stable,stable,41.9887410359867,12.079034077645218
17201,stable,stable,38.35739285742226,12.255659933111676
17203,stable,stable,39.24989240211226,12.510636003129278
18101,stable,stable,41.16169486876589,13.316934240563269
18103,stable,stable,39.94095085057696,13.30465768902797
18105,stable,stable,40.952968200273816,12.839961607275573
18107,stable,stable,39.84340104557012,12.984979655779386
18109,stable,stable,40.67060418443184,13.613890616467826
18111,stable,stable,39.15052474300802,12.617359883434384
18113,stable,stable,39.60332513455897,13.083179103266183
18115,stable,stable,40.03880749149227,13.281034606884411
18117,stable,stable,41.6759104075885,13.036921102483863
18119,stable,stable,40.36064923821631,12.67891163270096
18121,stable,stable,38.977482379620575,12.701888545667906
18123,stable,stable,42.17680189282222,13.538896051241933
18125,stable,stable,40.81865435008801,13.570598704478781
18127,stable,stable,39.27917429943282,14.07040242714649
18129,stable,stable,41.285193240172106,13.287394033053003
18131,stable,stable,38.99086901505965,12.68350409309603
18133,stable,stable,40.04043980031293,12.843203494425973
18135,stable,stable,40.94837727733229,13.531187189125758
18137,stable,stable,41.584004611187176,13.364885988265206
18139,stable,stable,41.04052488636808,13.394897048503815
18141,falling,falling,39.34924413260317,13.335819434578525
18143,stable,stable,41.38794972149423,13.255580421279092
18145,stable,stable,40.972303287698026,13.879215859182475
18147,stable,stable,42.00764764111089,14.026883358889107
18149,stable,stable,38.84018221631136,12.757690652454528
18151,rising,rising,39.67464876823783,12.458280716604733
18153,stable,stable,39.98621079874829,13.018832256796403
18155,stable,stable,40.823524078623116,13.090523639546253
18157,stable,stable,39.453467961861925,13.330362805398005
18159,stable,stable,40.21847889047526,13.341560732837863
18161,stable,stable,41.01927340230784,13.12765583414825
18163,stable,stable,41.24010105163309,14.003405672794837
18165,stable,stable,38.75553658087229,12.917410812634461
18167,stable,stable,39.052247286328964,13.137342834734989
18169,stable,stable,39.97081233913554,13.315210383532174
18171,falling,falling,38.71195627733229,12.437280175044005
18173,stable,stable,41.37952832642284,14.049114306082535
18175,stable,stable,41.86289251574418,13.144961063563466
18177,stable,stable,41.17595018071582,13.435569925092901
18179,stable,stable,40.06275948562488,13.335517810678661
18181,stable,stable,39.385843041854095,13.140143324858204
18183,stable,stable,39.44023708449051,13.122382924115001
19101,stable,stable,37.818783620966165,10.865612063563466
19103,stable,stable,37.912184767651084,11.611330161548993
19105,stable,stable,38.20384750987679,11.21875690573049
19107,stable,stable,37.75930589771171,10.799279332094661
19109,stable,stable,37.939386594562876,9.89448561196949
19111,stable,stable,38.81135222315666,11.626636115587718
19113,falling,falling,38.24165259417172,11.578300800117349
19115,stable,stable,38.06615733581068,11.563587433405045
19117,stable,stable,37.31542884060239,9.781670410522198
19119,stable,stable,38.89259530588696,9.644166413064736
19121,stable,stable,36.83807657089771,9.685644302170937
19123,stable,stable,37.555108096225304,10.62254362976726
19125,stable,stable,37.379218873459806,10.304836199100333
19127,falling,falling,37.3550253054958,10.396216119890475
19129,stable,stable,37.122353880305106,9.931957578916487
19131,stable,stable,38.05304134500294,10.198585706434578
19133,stable,stable,38.84681425073342,9.636599209466066
19135,stable,stable,37.68452703344416,10.300536250537844
19137,stable,stable,37.4190117023274,9.606832768433405
19139,stable,stable,38.07070635634657,12.114687780168198
19141,stable,stable,38.60435039585371,9.662983444553099
19143,stable,stable,38.44152400156464,9.427041337179737
19145,stable,stable,38.171473354195186,9.870135130256209
19147,stable,stable,37.632422008214355,9.617377765108547
19149,stable,stable,38.832312924115,9.894049438294543
19151,stable,stable,37.71565683395267,9.660075162331312
19153,stable,stable,36.78582972110307,10.621514068452964
19155,stable,stable,38.12703553041267,10.498673232544494
19157,stable,stable,37.4829979202034,10.527945410913357
19161,stable,stable,38.12281432368473,9.71123253725797
19163,stable,stable,37.94537322941522,12.415423433209467
19165,stable,stable,37.967133778799145,9.491809308820653
19167,stable,stable,38.92362768218267,9.85105699745746
19169,stable,stable,37.18205071288871,10.428453453549775
19171,stable,stable,37.721550271269315,10.50712538783493
19173,stable,stable,38.18905100352044,9.73452138881283
19175,stable,stable,37.434232720516334,9.636757424603951
19177,rising,rising,38.16896804693918,10.618998975161354
19179,stable,stable,37.84617131507921,10.640220660864463
19181,stable,stable,36.97132450205359,10.221377656170546
19183,stable,stable,37.97420833933111,11.314416097007628
19185,stable,stable,38.06766925503618,9.846196761979268
19187,stable,stable,37.69265459690984,10.079777538431449
19189,rising,rising,37.92940521709368,9.902023140817525
19191,stable,stable,38.38642299491492,10.320204452963036
19193,stable,stable,39.016174247799725,10.16534153686681
19195,stable,rising,37.9846592110307,10.130836350283591
19197,stable,stable,37.86178156561705,10.1495678511637
21101,stable,stable,41.90582587463329,13.78013259260708
21103,stable,stable,41.881677587130845,12.773516585957363
21105,stable,stable,42.07601511206728,11.85523886935263
21107,stable,stable,43.10270281595932,12.755338033835322
21109,stable,stable,41.56450603970272,11.444977286328966
21111,stable,stable,42.196074017993354,14.928133459612754
21113,stable,stable,41.30603821572463,12.68909703618228
21115,stable,stable,40.9230645982789,11.582386516722082
21117,stable,stable,41.03197096851164,14.344064898885193
21119,stable,stable,41.503956298063756,11.315693030706043
21121,falling,falling,42.589039410131036,11.703275107960103
21123,stable,stable,42.23179514746724,12.290081978290631
21125,stable,stable,42.12647006121651,11.850605867592412
21127,stable,stable,41.3994984465089,11.899322505574027
21129,stable,stable,40.95009246371993,11.204343599843536
21131,stable,stable,42.17825951809114,11.098755398005085
21133,stable,stable,42.57184302992373,11.064534041462938
21135,stable,stable,41.55018468081361,12.177158474867984
21137,stable,stable,42.0797116993937,12.027993985135927
21139,stable,stable,42.15381469958928,11.934210953060825
21141,falling,stable,43.26351420066497,12.45227027576765
21143,stable,stable,42.18091522648152,11.78099107471152
